hours,price
1.0,20.39
2.0,19.11
3.0,17.51
4.0,17.77
5.0,17.27
6.0,17.57
7.0,17.85
8.0,17.56
9.0,16.2
10.0,15.35
11.0,16.7
12.0,16.23
13.0,14.85
14.0,14.02
15.0,13.9
16.0,13.66
17.0,15.17
18.0,18.31
19.0,17.89
20.0,19.08
21.0,19.35
22.0,18.81
23.0,17.37
24.0,17.16
25.0,17.33
26.0,16.46
27.0,17.08
28.0,15.96
29.0,16.29
30.0,18.58
31.0,20.99
32.0,36.68
33.0,23.85
34.0,20.21
35.0,20.68
36.0,20.02
37.0,18.93
38.0,19.23
39.0,19.52
40.0,20.62
41.0,25.93
42.0,23.7
43.0,23.3
44.0,25.08
45.0,21.06
46.0,19.53
47.0,19.53
48.0,18.32
49.0,18.86
50.0,18.32
51.0,18.58
52.0,18.14
53.0,17.47
54.0,18.18
55.0,19.42
56.0,20.86
57.0,23.31
58.0,31.55
59.0,91.42
60.0,25.77
61.0,26.58
62.0,21.85
63.0,21.74
64.0,21.32
65.0,23.48
66.0,23.96
67.0,22.52
68.0,22.61
69.0,29.48
70.0,22.08
71.0,20.05
72.0,18.67
73.0,18.13
74.0,18.35
75.0,17.77
76.0,17.09
77.0,16.77
78.0,16.19
79.0,16.09
80.0,17.61
81.0,20.98
82.0,20.84
83.0,24.62
84.0,22.54
85.0,19.85
86.0,19.03
87.0,18.56
88.0,18.84
89.0,20.41
90.0,24.74
91.0,20.86
92.0,21.08
93.0,22.33
94.0,20.89
95.0,20.3
96.0,18.46
97.0,18.46
98.0,18.57
99.0,18.41
100.0,18.71
101.0,18.04
102.0,17.0
103.0,17.2
104.0,17.72
105.0,17.58
106.0,18.01
107.0,18.24
108.0,18.31
109.0,17.98
110.0,17.85
111.0,17.86
112.0,17.5
113.0,22.73
114.0,22.89
115.0,30.23
116.0,22.33
117.0,28.08
118.0,19.14
119.0,18.51
120.0,15.95
121.0,16.94
122.0,15.81
123.0,15.47
124.0,15.25
125.0,15.25
126.0,19.13
127.0,22.84
128.0,23.55
129.0,24.11
130.0,21.59
131.0,20.63
132.0,18.43
133.0,18.63
134.0,18.46
135.0,17.96
136.0,17.91
137.0,17.99
138.0,26.65
139.0,25.39
140.0,23.53
141.0,23.82
142.0,21.72
143.0,19.44
144.0,17.95
145.0,18.31
146.0,18.47
147.0,18.13
148.0,17.89
149.0,18.7
150.0,20.6
151.0,27.02
152.0,24.88
153.0,21.78
154.0,22.44
155.0,21.86
156.0,21.81
157.0,21.14
158.0,20.23
159.0,19.31
160.0,19.52
161.0,21.24
162.0,25.98
163.0,21.33
164.0,20.58
165.0,23.92
166.0,19.95
167.0,18.85
168.0,18.04
169.0,18.09
170.0,17.98
171.0,18.04
172.0,18.25
173.0,18.21
174.0,18.6
175.0,20.83
176.0,29.91
177.0,35.34
178.0,20.75
179.0,20.63
180.0,19.22
181.0,19.34
182.0,19.01
183.0,19.25
184.0,19.24
185.0,21.04
186.0,30.1
187.0,25.85
188.0,21.42
189.0,21.92
190.0,21.08
191.0,20.89
192.0,19.2
193.0,19.89
194.0,19.33
195.0,19.94
196.0,20.35
197.0,21.07
198.0,22.45
199.0,30.63
200.0,85.14
201.0,21.91
202.0,21.13
203.0,20.18
204.0,19.96
205.0,18.88
206.0,18.37
207.0,18.25
208.0,18.85
209.0,19.01
210.0,22.1
211.0,20.91
212.0,20.25
213.0,20.21
214.0,21.1
215.0,18.63
216.0,17.2
217.0,18.81
218.0,17.69
219.0,18.29
220.0,16.77
221.0,17.29
222.0,18.42
223.0,21.09
224.0,22.61
225.0,21.08
226.0,19.9
227.0,19.22
228.0,19.22
229.0,18.95
230.0,18.48
231.0,18.72
232.0,18.29
233.0,19.19
234.0,20.19
235.0,19.8
236.0,18.57
237.0,16.21
238.0,14.32
239.0,15.16
240.0,14.14
241.0,16.75
242.0,15.41
243.0,14.05
244.0,13.95
